"Statistic Label","Year","Domestic","Reason for Journey","UNIT","VALUE"
"Average Length of Stay by Irish Residents","2000","Domestic","Holiday","Nights per Trip","4.6"
"Average Length of Stay by Irish Residents","2000","Domestic","Business","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2000","Domestic","Visiting friends/relatives","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2000","Domestic","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2000","Domestic","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2000","Domestic","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2000","Domestic","Other reasons","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2000","Outbound","All reasons for journey","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents","2000","Outbound","Holiday","Nights per Trip","10.7"
"Average Length of Stay by Irish Residents","2000","Outbound","Business","Nights per Trip","6"
"Average Length of Stay by Irish Residents","2000","Outbound","Visiting friends/relatives","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2000","Outbound","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2000","Outbound","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2000","Outbound","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2000","Outbound","Other reasons","Nights per Trip","10.9"
"Average Length of Stay by Irish Residents","2001","Domestic","All reasons for journey","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2001","Domestic","Holiday","Nights per Trip","4.6"
"Average Length of Stay by Irish Residents","2001","Domestic","Business","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2001","Domestic","Visiting friends/relatives","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2001","Domestic","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2001","Domestic","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2001","Domestic","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2001","Domestic","Other reasons","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2001","Outbound","All reasons for journey","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2001","Outbound","Holiday","Nights per Trip","10.4"
"Average Length of Stay by Irish Residents","2001","Outbound","Business","Nights per Trip","5.4"
"Average Length of Stay by Irish Residents","2001","Outbound","Visiting friends/relatives","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2001","Outbound","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2001","Outbound","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2001","Outbound","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2001","Outbound","Other reasons","Nights per Trip","10.1"
"Average Length of Stay by Irish Residents","2002","Domestic","All reasons for journey","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2002","Domestic","Holiday","Nights per Trip","4.3"
"Average Length of Stay by Irish Residents","2002","Domestic","Business","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2002","Domestic","Visiting friends/relatives","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2002","Domestic","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2002","Domestic","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2002","Domestic","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2002","Domestic","Other reasons","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2002","Outbound","All reasons for journey","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2002","Outbound","Holiday","Nights per Trip","10"
"Average Length of Stay by Irish Residents","2002","Outbound","Business","Nights per Trip","5.2"
"Average Length of Stay by Irish Residents","2002","Outbound","Visiting friends/relatives","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2002","Outbound","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2002","Outbound","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2002","Outbound","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2002","Outbound","Other reasons","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2003","Domestic","All reasons for journey","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2003","Domestic","Holiday","Nights per Trip","4.4"
"Average Length of Stay by Irish Residents","2003","Domestic","Business","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2003","Domestic","Visiting friends/relatives","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2003","Domestic","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2003","Domestic","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2003","Domestic","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2003","Domestic","Other reasons","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2003","Outbound","All reasons for journey","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2003","Outbound","Holiday","Nights per Trip","9.8"
"Average Length of Stay by Irish Residents","2003","Outbound","Business","Nights per Trip","5.5"
"Average Length of Stay by Irish Residents","2003","Outbound","Visiting friends/relatives","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2003","Outbound","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2003","Outbound","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2003","Outbound","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2003","Outbound","Other reasons","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents","2004","Domestic","All reasons for journey","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2004","Domestic","Holiday","Nights per Trip","4.3"
"Average Length of Stay by Irish Residents","2004","Domestic","Business","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2004","Domestic","Visiting friends/relatives","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2004","Domestic","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2004","Domestic","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2004","Domestic","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2004","Domestic","Other reasons","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2004","Outbound","All reasons for journey","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2004","Outbound","Holiday","Nights per Trip","9.7"
"Average Length of Stay by Irish Residents","2004","Outbound","Business","Nights per Trip","5"
"Average Length of Stay by Irish Residents","2004","Outbound","Visiting friends/relatives","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2004","Outbound","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2004","Outbound","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2004","Outbound","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2004","Outbound","Other reasons","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2005","Domestic","All reasons for journey","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2005","Domestic","Holiday","Nights per Trip","4.1"
"Average Length of Stay by Irish Residents","2005","Domestic","Business","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2005","Domestic","Visiting friends/relatives","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2005","Domestic","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2005","Domestic","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2005","Domestic","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2005","Domestic","Other reasons","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2005","Outbound","All reasons for journey","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2005","Outbound","Holiday","Nights per Trip","9.3"
"Average Length of Stay by Irish Residents","2005","Outbound","Business","Nights per Trip","4.9"
"Average Length of Stay by Irish Residents","2005","Outbound","Visiting friends/relatives","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2005","Outbound","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2005","Outbound","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2005","Outbound","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2005","Outbound","Other reasons","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2006","Domestic","All reasons for journey","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2006","Domestic","Holiday","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2006","Domestic","Business","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2006","Domestic","Visiting friends/relatives","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2006","Domestic","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2006","Domestic","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2006","Domestic","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2006","Domestic","Other reasons","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2006","Outbound","All reasons for journey","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2006","Outbound","Holiday","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents","2006","Outbound","Business","Nights per Trip","5.5"
"Average Length of Stay by Irish Residents","2006","Outbound","Visiting friends/relatives","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2006","Outbound","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2006","Outbound","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2006","Outbound","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2006","Outbound","Other reasons","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents","2007","Domestic","All reasons for journey","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2007","Domestic","Holiday","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2007","Domestic","Business","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2007","Domestic","Visiting friends/relatives","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2007","Domestic","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Domestic","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Domestic","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Domestic","Other reasons","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2007","Outbound","All reasons for journey","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2007","Outbound","Holiday","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents","2007","Outbound","Business","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents","2007","Outbound","Visiting friends/relatives","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2007","Outbound","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Outbound","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Outbound","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Outbound","Other reasons","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2008","Domestic","All reasons for journey","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2008","Domestic","Holiday","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2008","Domestic","Business","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2008","Domestic","Visiting friends/relatives","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2008","Domestic","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Domestic","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Domestic","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Domestic","Other reasons","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2008","Outbound","All reasons for journey","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2008","Outbound","Holiday","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2008","Outbound","Business","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents","2008","Outbound","Visiting friends/relatives","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2008","Outbound","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Outbound","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Outbound","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Outbound","Other reasons","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents","2009","Domestic","All reasons for journey","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2009","Domestic","Holiday","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2009","Domestic","Business","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2009","Domestic","Visiting friends/relatives","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2009","Domestic","Education and training","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2009","Domestic","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Domestic","Sporting events","Nights per Trip","2"
"Average Length of Stay by Irish Residents","2009","Domestic","Other reasons","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2009","Outbound","All reasons for journey","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents","2009","Outbound","Holiday","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents","2009","Outbound","Business","Nights per Trip","4.6"
"Average Length of Stay by Irish Residents","2009","Outbound","Visiting friends/relatives","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2009","Outbound","Education and training","Nights per Trip","9.9"
"Average Length of Stay by Irish Residents","2009","Outbound","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Outbound","Sporting events","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2009","Outbound","Other reasons","Nights per Trip","10.2"
"Average Length of Stay by Irish Residents","2010","Domestic","All reasons for journey","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2010","Domestic","Holiday","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2010","Domestic","Business","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents","2010","Domestic","Visiting friends/relatives","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2010","Domestic","Education and training","Nights per Trip","5.2"
"Average Length of Stay by Irish Residents","2010","Domestic","Work/looking for work","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2010","Domestic","Sporting events","Nights per Trip","2"
"Average Length of Stay by Irish Residents","2010","Domestic","Other reasons","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2010","Outbound","All reasons for journey","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2010","Outbound","Holiday","Nights per Trip","9.5"
"Average Length of Stay by Irish Residents","2010","Outbound","Business","Nights per Trip","4"
"Average Length of Stay by Irish Residents","2010","Outbound","Visiting friends/relatives","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2010","Outbound","Education and training","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents","2010","Outbound","Work/looking for work","Nights per Trip","10.8"
"Average Length of Stay by Irish Residents","2010","Outbound","Sporting events","Nights per Trip","4.3"
"Average Length of Stay by Irish Residents","2010","Outbound","Other reasons","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents","2011","Domestic","All reasons for journey","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2011","Domestic","Holiday","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2011","Domestic","Business","Nights per Trip","1.7"
"Average Length of Stay by Irish Residents","2011","Domestic","Visiting friends/relatives","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2011","Domestic","Education and training","Nights per Trip","4.7"
"Average Length of Stay by Irish Residents","2011","Domestic","Work/looking for work","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2011","Domestic","Sporting events","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2011","Domestic","Other reasons","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2011","Outbound","All reasons for journey","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2011","Outbound","Holiday","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents","2011","Outbound","Business","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents","2011","Outbound","Visiting friends/relatives","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2011","Outbound","Education and training","Nights per Trip","12.6"
"Average Length of Stay by Irish Residents","2011","Outbound","Work/looking for work","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents","2011","Outbound","Sporting events","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2011","Outbound","Other reasons","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2012","Domestic","All reasons for journey","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2012","Domestic","Holiday","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2012","Domestic","Business","Nights per Trip","2"
"Average Length of Stay by Irish Residents","2012","Domestic","Visiting friends/relatives","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2012","Domestic","Education and training","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2012","Domestic","Work/looking for work","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2012","Domestic","Sporting events","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents","2012","Domestic","Other reasons","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2012","Outbound","All reasons for journey","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2012","Outbound","Holiday","Nights per Trip","9"
"Average Length of Stay by Irish Residents","2012","Outbound","Business","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2012","Outbound","Visiting friends/relatives","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2012","Outbound","Education and training","Nights per Trip","11.2"
"Average Length of Stay by Irish Residents","2012","Outbound","Work/looking for work","Nights per Trip","17.2"
"Average Length of Stay by Irish Residents","2012","Outbound","Sporting events","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2012","Outbound","Other reasons","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2013","Domestic","All reasons for journey","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2013","Domestic","Holiday","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2013","Domestic","Business","Nights per Trip","1.7"
"Average Length of Stay by Irish Residents","2013","Domestic","Visiting friends/relatives","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2013","Domestic","Education and training","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents","2013","Domestic","Work/looking for work","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2013","Domestic","Sporting events","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents","2013","Domestic","Other reasons","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2013","Outbound","All reasons for journey","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2013","Outbound","Holiday","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents","2013","Outbound","Business","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2013","Outbound","Visiting friends/relatives","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2013","Outbound","Education and training","Nights per Trip","11.8"
"Average Length of Stay by Irish Residents","2013","Outbound","Work/looking for work","Nights per Trip","18"
"Average Length of Stay by Irish Residents","2013","Outbound","Sporting events","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents","2013","Outbound","Other reasons","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2014","Domestic","All reasons for journey","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2014","Domestic","Holiday","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2014","Domestic","Business","Nights per Trip","2"
"Average Length of Stay by Irish Residents","2014","Domestic","Visiting friends/relatives","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2014","Domestic","Education and training","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents","2014","Domestic","Work/looking for work","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2014","Domestic","Sporting events","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents","2014","Domestic","Other reasons","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2014","Outbound","All reasons for journey","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2014","Outbound","Holiday","Nights per Trip","9"
"Average Length of Stay by Irish Residents","2014","Outbound","Business","Nights per Trip","4.1"
"Average Length of Stay by Irish Residents","2014","Outbound","Visiting friends/relatives","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2014","Outbound","Education and training","Nights per Trip","12"
"Average Length of Stay by Irish Residents","2014","Outbound","Work/looking for work","Nights per Trip","15"
"Average Length of Stay by Irish Residents","2014","Outbound","Sporting events","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2014","Outbound","Other reasons","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents","2015","Domestic","All reasons for journey","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2015","Domestic","Holiday","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2015","Domestic","Business","Nights per Trip","1.6"
"Average Length of Stay by Irish Residents","2015","Domestic","Visiting friends/relatives","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2015","Domestic","Education and training","Nights per Trip","5.7"
"Average Length of Stay by Irish Residents","2015","Domestic","Work/looking for work","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2015","Domestic","Sporting events","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents","2015","Domestic","Other reasons","Nights per Trip","2"
"Average Length of Stay by Irish Residents","2015","Outbound","All reasons for journey","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2015","Outbound","Holiday","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents","2015","Outbound","Business","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2015","Outbound","Visiting friends/relatives","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2015","Outbound","Education and training","Nights per Trip","10.5"
"Average Length of Stay by Irish Residents","2015","Outbound","Work/looking for work","Nights per Trip","15.8"
"Average Length of Stay by Irish Residents","2015","Outbound","Sporting events","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2015","Outbound","Other reasons","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2016","Domestic","All reasons for journey","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2016","Domestic","Holiday","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2016","Domestic","Business","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents","2016","Domestic","Visiting friends/relatives","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2016","Domestic","Education and training","Nights per Trip","4.9"
"Average Length of Stay by Irish Residents","2016","Domestic","Work/looking for work","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2016","Domestic","Sporting events","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents","2016","Domestic","Other reasons","Nights per Trip","2"
"Average Length of Stay by Irish Residents","2016","Outbound","All reasons for journey","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2016","Outbound","Holiday","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2016","Outbound","Business","Nights per Trip","4.5"
"Average Length of Stay by Irish Residents","2016","Outbound","Visiting friends/relatives","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2016","Outbound","Education and training","Nights per Trip","11.7"
"Average Length of Stay by Irish Residents","2016","Outbound","Work/looking for work","Nights per Trip","15.9"
"Average Length of Stay by Irish Residents","2016","Outbound","Sporting events","Nights per Trip","4.4"
"Average Length of Stay by Irish Residents","2016","Outbound","Other reasons","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents","2017","Domestic","All reasons for journey","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2017","Domestic","Holiday","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2017","Domestic","Business","Nights per Trip","1.7"
"Average Length of Stay by Irish Residents","2017","Domestic","Visiting friends/relatives","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2017","Domestic","Education and training","Nights per Trip","5.6"
"Average Length of Stay by Irish Residents","2017","Domestic","Work/looking for work","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents","2017","Domestic","Sporting events","Nights per Trip","2"
"Average Length of Stay by Irish Residents","2017","Domestic","Other reasons","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents","2017","Outbound","All reasons for journey","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2017","Outbound","Holiday","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2017","Outbound","Business","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2017","Outbound","Visiting friends/relatives","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2017","Outbound","Education and training","Nights per Trip","16"
"Average Length of Stay by Irish Residents","2017","Outbound","Work/looking for work","Nights per Trip","19.4"
"Average Length of Stay by Irish Residents","2017","Outbound","Sporting events","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2017","Outbound","Other reasons","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents","2018","Domestic","All reasons for journey","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2018","Domestic","Holiday","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2018","Domestic","Business","Nights per Trip","1.6"
"Average Length of Stay by Irish Residents","2018","Domestic","Visiting friends/relatives","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2018","Domestic","Education and training","Nights per Trip","4.8"
"Average Length of Stay by Irish Residents","2018","Domestic","Work/looking for work","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2018","Domestic","Sporting events","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents","2018","Domestic","Other reasons","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2018","Outbound","All reasons for journey","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2018","Outbound","Holiday","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2018","Outbound","Business","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2018","Outbound","Visiting friends/relatives","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2018","Outbound","Education and training","Nights per Trip","10.6"
"Average Length of Stay by Irish Residents","2018","Outbound","Work/looking for work","Nights per Trip","14.5"
"Average Length of Stay by Irish Residents","2018","Outbound","Sporting events","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2018","Outbound","Other reasons","Nights per Trip","4.7"
"Average Length of Stay by Irish Residents","2019","Domestic","All reasons for journey","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2019","Domestic","Holiday","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2019","Domestic","Business","Nights per Trip","1.6"
"Average Length of Stay by Irish Residents","2019","Domestic","Visiting friends/relatives","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2019","Domestic","Education and training","Nights per Trip","5.2"
"Average Length of Stay by Irish Residents","2019","Domestic","Work/looking for work","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2019","Domestic","Sporting events","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents","2019","Domestic","Other reasons","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2019","Outbound","All reasons for journey","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2019","Outbound","Holiday","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2019","Outbound","Business","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2019","Outbound","Visiting friends/relatives","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents","2019","Outbound","Education and training","Nights per Trip","13.5"
"Average Length of Stay by Irish Residents","2019","Outbound","Work/looking for work","Nights per Trip","12.6"
"Average Length of Stay by Irish Residents","2019","Outbound","Sporting events","Nights per Trip","4.7"
